
bfs,name,solar_count,wind_count,water_count,majority,notes
3395,Bütschwil-Ganterschwil,100,1,0,wind,"Teil des Wind-Eignungsgebiets Krinau (mit Wattwil/Mosnang), Schwerpunkt ländlich/windgeeignet; Solar in Dächern präsent"
3352,Ebnat-Kappel,90,1,0,wind,"Nähe zu Krinau-Eignungsgebiet; Dorf- & Gewerbedächer mit PV möglich"
3392,Kirchberg (SG),150,2,0,wind,"Eignungsgebiet Hamberg/Alvensberg (Kirchberg/Mosnang); PV in Siedlungen"
3374,Lichtensteig,70,0,0,solar,"Kleinstadt mit PV-Dachpotential; keine ausgewiesenen Windgebiete"
3393,Lütisburg,70,0,0,solar,"Ländlich; PV verteilt auf Wohn-/Landwirtschaftsdächern"
3394,Mosnang,120,2,0,wind,"Eignungsgebiet Hamberg/Alvensberg, Höhenlagen; PV in Streusiedlungen"
3378,Neckertal,100,0,0,solar,"Ländliches Tal; PV vorrangig auf Dächern; keine speziellen Wind/Wasser-Schwerpunkte"
3360,Nesslau,80,0,1,wasser,"SAK-Kraftwerk Giessen (Nesslau, Thur) im Gemeindegebiet; PV ergänzend"
3379,Wattwil,200,3,0,wind,"Wind-Eignungsgebiet Krinau (mit Bütschwil-Ganterschwil/Mosnang); PV in der Ortschaft verbreitet"
3359,Wildhaus-Alt St. Johann,60,0,0,solar,"Alpine Gemeinde; Windnutzung derzeit zurückhaltend; PV auf Gebäuden"
3311,Amden,60,0,0,solar,"Walensee-Bereich; lokale PV, Wasser-/Speicherwerke regional (Glarus) aber nicht direkt in Amden"
3312,Benken (SG),70,0,1,wasser,"Nähe Linthkanal/Ziegelbrücke mit Kleinwasserkraft; PV in Gewerbe/Agri"
3342,Eschenbach (SG),180,1,0,solar,"Starke PV-Förderung & kommunale PV-Programme; Eignungsgebiet Laad (Wind) in Planung"
3341,Gommiswald,85,0,0,solar,"Landwirtschafts-/Gewerbedächer mit PV; kein ausgewiesenes Windgebiet"
3313,Kaltbrunn,80,0,0,solar,"Linthgebiet-Ort; PV Schwerpunkt; Wind/Wasser sekundär"
3340,Rapperswil-Jona,600,0,0,solar,"PV-Allianz Ziel: hoher PV-Ausbau; bereits hunderte PV-Anlagen im Versorgungsgebiet"
3315,Schänis,90,2,0,wind,"Windgebiet Witöfeli/Steinerriet umstritten; ländlich/windgeeignet; PV präsent"
3338,Schmerikon,90,0,0,solar,"Obersee-Ufer; PV in Ort & Gewerbe; Wasserläufe ohne lokales Kraftwerk"
3339,Uznach,150,0,0,solar,"PV-Machbarkeitsstudie mit hohem Potenzial; grosse Dachflächen"
3316,Weesen,60,0,1,wasser,"Walensee-Ausfluss/Linth-Bereich; regionale Wasserkraft in Walensee-System; PV vorhanden"
